Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Final,Difference
const,-1.3327906630659578,0.0,const,306.57755904470696,307.0,0.42244095529304104
grade:A,1.6397783240824637,0.0,grade,157.5619768553055,158.0,0.43802314469451176
grade:B,1.101522312538452,0.0,grade,105.84237549968857,106.0,0.15762450031142805
grade:C,0.6171151511381152,0.0,grade,59.296968213730466,59.0,-0.2969682137304659
grade:D,0.2896959198266847,0.0,grade,27.836117324181107,28.0,0.16388267581889338
grade:E,0.123402076386465,0.0001,grade,11.857380243381627,12.0,0.14261975661837312
grade:F,0.10390870750626437,0.0002,grade,9.984313810421725,10.0,0.01568618957827539
verification_status:Source Verified,-0.041109595335956074,0.0,verification_status,-3.950112654696334,-4.0,-0.04988734530366612
verification_status:Not Verified,0.11410279866794613,0.0,verification_status,10.963837159455213,11.0,0.03616284054478669
inq_last_6mths:0,0.2545562857530134,0.0,inq_last_6mths,24.459642510905518,24.0,-0.45964251090551755
inq_last_6mths:1,0.15206656322083137,0.0,inq_last_6mths,14.611675226328671,15.0,0.38832477367132867
inq_last_6mths:2,0.08079372305455956,0.0,inq_last_6mths,7.763255883443603,8.0,0.23674411655639727
mths_since_earliest_cr_line:250-350,-0.027344348706570747,0.0,mths_since_earliest_cr_line,-2.627446390010601,-3.0,-0.3725536099893989
mths_since_earliest_cr_line:>350,0.05687747210305018,0.0,mths_since_earliest_cr_line,5.465206370564509,5.0,-0.4652063705645091
annual_inc:30K-40K,0.09539138026147188,0.0,annual_inc,9.165906286365706,9.0,-0.16590628636570592
annual_inc:40K-50K,0.1733551433128383,0.0,annual_inc,16.657238772618374,17.0,0.34276122738162584
annual_inc:50K-60K,0.2093979105510096,0.0,annual_inc,20.120493271094304,20.0,-0.12049327109430408
annual_inc:60K-70K,0.2614240558787982,0.0,annual_inc,25.11954843947787,25.0,-0.11954843947787097
annual_inc:70K-80K,0.30767467062649906,0.0,annual_inc,29.563648098191507,30.0,0.4363519018084929
annual_inc:80K-90K,0.34637850160076417,0.0,annual_inc,33.282597196747915,33.0,-0.28259719674791484
