segment_type,bin,n,actual_lgd_mean,m1_mae,m1_bias,m1_corr,m1_lgd_mean,m1_rmse,m2_mae,m2_bias,m2_corr,m2_lgd_mean,m2_rmse,better_mae,better_bias,better_corr
grade,A,969,0.8497,0.0633,0.0115,-0.0123,0.8612,0.1333,0.1465,0.1464,-0.0492,0.996,0.1968,Model 1,Model 1,Model 1
grade,B,4772,0.8589,0.0458,-0.0047,-0.029,0.8542,0.0918,0.1337,0.1335,-0.0537,0.9924,0.161,Model 1,Model 1,Model 1
grade,C,9931,0.8572,0.0408,-0.0089,-0.0132,0.8482,0.0815,0.1336,0.1332,-0.0347,0.9904,0.1551,Model 1,Model 1,Model 1
grade,D,5909,0.8541,0.0458,-0.0056,-0.0091,0.8485,0.0933,0.1355,0.1349,-0.0379,0.9889,0.1632,Model 1,Model 1,Model 1
grade,E,2952,0.8529,0.045,0.0009,0.0188,0.8539,0.0909,0.1346,0.1336,-0.0112,0.9865,0.1613,Model 1,Model 1,Model 1
grade,F,1210,0.852,0.0438,0.0053,0.0181,0.8573,0.0882,0.1334,0.1323,0.0359,0.9843,0.1585,Model 1,Model 1,Model 2
grade,G,715,0.8472,0.0396,0.006,0.0409,0.8532,0.0931,0.1358,0.1349,0.0223,0.9821,0.1637,Model 1,Model 1,Model 1
term,36 months,16742,0.8543,0.0526,-0.0085,-0.0306,0.8458,0.1011,0.1352,0.1345,-0.0281,0.9889,0.1673,Model 1,Model 1,Model 2
term,60 months,9716,0.8576,0.0297,0.0024,0.0103,0.86,0.0672,0.1338,0.1335,0.0139,0.9911,0.1489,Model 1,Model 1,Model 2
purpose,credit_card_car_wedding,4530,0.857,0.0445,-0.0048,-0.036,0.8523,0.0873,0.1344,0.134,-0.0346,0.991,0.1588,Model 1,Model 1,Model 2
purpose,debt_consolidation,15518,0.8563,0.0443,-0.0052,-0.0146,0.8511,0.089,0.134,0.1335,-0.0182,0.9897,0.1595,Model 1,Model 1,Model 1
purpose,educational_other,2096,0.8489,0.0478,-0.0014,-0.0142,0.8475,0.1026,0.1391,0.1387,-0.0116,0.9876,0.1718,Model 1,Model 1,Model 2
purpose,small_business_renewable_energy_moving_house_medical,1455,0.8558,0.0379,-0.0001,0.0003,0.8557,0.0834,0.1336,0.1332,0.0054,0.989,0.1565,Model 1,Model 1,Model 2
purpose,vacation_major_purchase_home_improvement,2859,0.854,0.0439,-0.005,0.0239,0.849,0.0942,0.1358,0.1354,-0.0179,0.9894,0.1645,Model 1,Model 1,Model 1
home_ownership,MORTGAGE,11032,0.8545,0.0472,-0.0053,-0.0047,0.8492,0.0952,0.1351,0.1344,-0.0208,0.989,0.1639,Model 1,Model 1,Model 1
home_ownership,OWN,3342,0.8523,0.0498,-0.0077,-0.0127,0.8446,0.1004,0.137,0.1366,-0.0039,0.9889,0.1684,Model 1,Model 1,Model 2
home_ownership,RENT_OTHER_NONE_ANY,12084,0.8574,0.0399,-0.0029,-0.0296,0.8545,0.082,0.1336,0.1332,-0.0202,0.9906,0.1556,Model 1,Model 1,Model 2
