feature,coefficient,p_value,significant
const,-0.3304924933864516,0.0,True
grade:A,-0.7030110295835117,0.0,True
grade:B,-0.6215119380260917,0.0,True
grade:C,-0.4653123350961208,0.0,True
grade:D,-0.34022411985830947,0.0,True
grade:E,-0.2077458352496592,0.0,True
grade:F,-0.07324777442560763,0.0009,True
home_ownership:OWN,0.057799094634514915,0.0,True
home_ownership:MORTGAGE,0.012023204710694603,0.0338,True
verification_status:Not Verified,-0.0008343297927648332,0.9058,False
verification_status:Source Verified,0.10792335669469827,0.0,True
purpose:debt_consolidation,0.08211277752586832,0.0,True
purpose:educational_other,0.07638274929746991,0.0,True
purpose:vacation_major_purchase_home_improvement,0.09117621332939586,0.0,True
purpose:credit_card_car_wedding,0.07318246905324677,0.0,True
term_int,-0.004304222141971263,0.0,True
mths_since_earliest_cr_line,-0.0004687838016502347,0.0,True
funded_amnt,3.425368273120135e-06,0.1035,False
int_rate,-0.03553082330311842,0.0,True
installment,-0.00012075095487684737,0.0668,False
annual_inc,4.619268298847733e-07,0.0,True
dti,0.0043714545506064245,0.0,True
total_rev_hi_lim,1.9048513387778296e-06,0.0,True
addr_state:LA_NV_TN_SD,-0.022642020240789228,0.1696,False
addr_state:NY,-0.05470771699978471,0.0002,True
addr_state:IN_NM_MO,0.0018235825232795378,0.9159,False
addr_state:FL,-0.04291381020238421,0.0042,True
addr_state:KY_MD_ND_IA_NJ_OH_PA_NC_ID,-0.03829403191049951,0.0043,True
addr_state:HI_MI_VA_DE_MN_AZ,-0.01759179865676504,0.2178,False
addr_state:TX_AK,0.002451563191579887,0.8669,False
addr_state:CA,-0.07300943137816461,0.0,True
addr_state:MA_GA_RI_IL_UT,-0.08259331251593245,0.0,True
addr_state:WI_CT_MT_WY_SC_KS,-0.12617790276110416,0.0,True
addr_state:WV_WA_CO_ME_OR_NH_VT_DC,-0.11632868493959575,0.0,True
phi (precision),1.2693593693877239,0.0,True
