segment,month,count,w_t
36_A,1,188,0.013882735194210604
36_A,2,202,0.014916555900162458
36_A,3,280,0.02067641411903707
36_A,4,346,0.025550140304238664
36_A,5,373,0.027543937380002954
36_A,6,449,0.03315610692659873
36_A,7,449,0.03315610692659873
36_A,8,514,0.03795598877566091
36_A,9,525,0.03876827647319451
36_A,10,520,0.03839905479249742
36_A,11,525,0.03876827647319451
36_A,12,557,0.04113129522965588
36_A,13,516,0.03810367744793974
36_A,14,541,0.039949785851425196
36_A,15,525,0.03876827647319451
36_A,16,480,0.03544528134692069
36_A,17,502,0.03706985674198789
36_A,18,508,0.037512922758824396
36_A,19,462,0.034116083296411165
36_A,20,422,0.03116230985083444
36_A,21,451,0.03330379559887756
36_A,22,422,0.03116230985083444
36_A,23,405,0.029906956136464335
36_A,24,424,0.03130999852311328
36_A,25,406,0.02998080047260375
36_A,26,340,0.025107074287402158
36_A,27,349,0.02577167331265692
36_A,28,326,0.024073253581450304
36_A,29,305,0.02252252252252252
36_A,30,257,0.018977994387830453
36_A,31,240,0.017722640673460344
36_A,32,236,0.017427263328902674
36_A,33,171,0.012627381479840495
36_A,34,158,0.01166740511002806
36_A,35,111,0.00819672131147541
36_A,36,57,0.004209127159946832
36_B,1,498,0.011308158677535821
36_B,2,645,0.014646109130543383
36_B,3,917,0.020822452825904312
36_B,4,1127,0.02559095347305797
36_B,5,1427,0.032403097254706054
36_B,6,1510,0.03428779036762869
36_B,7,1644,0.037330547923431504
36_B,8,1752,0.039782919684824815
36_B,9,1835,0.04166761279774745
36_B,10,1760,0.03996457685233543
36_B,11,1938,0.044006448829446626
36_B,12,2000,0.045414291877653896
36_B,13,1810,0.041099934149276776
36_B,14,1868,0.04241694861372874
36_B,15,1775,0.040305184041417835
36_B,16,1714,0.03892004813914939
36_B,17,1728,0.03923794818229297
36_B,18,1713,0.038897340993210565
36_B,19,1547,0.03512795476736529
36_B,20,1455,0.03303889734099321
36_B,21,1466,0.033288675946320304
36_B,22,1343,0.030495696995844594
36_B,23,1286,0.029201389677331456
36_B,24,1232,0.0279752037966348
36_B,25,1108,0.02515951770022026
36_B,26,1086,0.024659960489566066
36_B,27,963,0.021866981539090353
36_B,28,838,0.019028588296736985
36_B,29,819,0.01859715252389927
36_B,30,744,0.01689411657848725
36_B,31,625,0.014191966211766842
36_B,32,551,0.01251163741229365
36_B,33,481,0.010922137196575763
36_B,34,392,0.008901201208020165
36_B,35,297,0.0067440223438316035
36_B,36,145,0.0032925361611299076
36_C,1,708,0.012481489316691347
36_C,2,999,0.017611592976517876
36_C,3,1494,0.02633805796488259
36_C,4,1855,0.032702207178619276
36_C,5,2146,0.03783231083844581
36_C,6,2316,0.040829278612227626
36_C,7,2452,0.04322685283125308
36_C,8,2548,0.044919258162329875
36_C,9,2620,0.04618856216063747
36_C,10,2665,0.04698187715957972
36_C,11,2645,0.04662929271560539
36_C,12,2718,0.0479162259361117
36_C,13,2662,0.04692898949298357
36_C,14,2398,0.04227487483252239
36_C,15,2319,0.04088216627882378
36_C,16,2236,0.0394189408363303
36_C,17,2131,0.03756787250546506
36_C,18,2015,0.035522882730413936
36_C,19,1837,0.03238488117904238
36_C,20,1735,0.030586700514773288
36_C,21,1604,0.028277272406741414
36_C,22,1548,0.027290035963613287
36_C,23,1377,0.024275438967632748
36_C,24,1326,0.0233763486354982
36_C,25,1227,0.021631055637825258
36_C,26,1131,0.019938650306748466
36_C,27,995,0.01754107608772301
36_C,28,891,0.015707636979056486
36_C,29,837,0.014755658980325787
36_C,30,718,0.012657781538678513
36_C,31,624,0.011000634651999153
36_C,32,590,0.01040124109724279
36_C,33,478,0.008426768210986531
36_C,34,405,0.00713983499048022
36_C,35,313,0.005517946548198293
36_C,36,161,0.0028383047739933714
36_D,1,591,0.017350204033702257
36_D,2,844,0.024777617943222852
36_D,3,1149,0.033731614948771395
36_D,4,1377,0.04042509467750932
36_D,5,1559,0.04576813551360714
36_D,6,1619,0.04752957754748554
36_D,7,1701,0.04993688166045269
36_D,8,1638,0.04808736752488037
36_D,9,1645,0.04829286909549951
36_D,10,1689,0.04958459325367701
36_D,11,1676,0.04920294747967002
36_D,12,1547,0.04541584710683146
36_D,13,1544,0.04532777500513754
36_D,14,1410,0.04139388779614244
36_D,15,1323,0.03883979684701876
36_D,16,1285,0.03772421689222911
36_D,17,1130,0.03317382497137657
36_D,18,1076,0.031588527140886
36_D,19,991,0.029093150926224935
36_D,20,868,0.025482194756774212
36_D,21,866,0.0254234800223116
36_D,22,867,0.025452837389542907
36_D,23,790,0.02319232011273229
36_D,24,723,0.021225376508234743
36_D,25,604,0.017731849807709244
36_D,26,590,0.017320846666470952
36_D,27,480,0.014091536271027215
36_D,28,446,0.013093385785162786
36_D,29,431,0.012653025276693186
36_D,30,379,0.011126442180665238
36_D,31,319,0.009365000146786836
36_D,32,276,0.008102633355840648
36_D,33,229,0.006722837095969233
36_D,34,189,0.005548542406716966
36_D,35,145,0.004256818248539471
36_D,36,67,0.0019669436044975484
36_E-G,1,437,0.02813365093671538
36_E-G,2,488,0.03141698319706431
36_E-G,3,658,0.0423614240648941
36_E-G,4,743,0.04783364449880899
36_E-G,5,830,0.0534346230605807
36_E-G,6,814,0.05240455803772613
36_E-G,7,814,0.05240455803772613
36_E-G,8,820,0.0527908324212966
36_E-G,9,795,0.05118135582308633
36_E-G,10,789,0.05079508143951587
36_E-G,11,751,0.04834867701023627
36_E-G,12,755,0.048606193265949914
36_E-G,13,660,0.04249018219275092
36_E-G,14,609,0.039206849932401984
36_E-G,15,568,0.03656730831133715
36_E-G,16,494,0.03180325758063478
36_E-G,17,483,0.031095087877422264
36_E-G,18,414,0.02665293246636194
36_E-G,19,382,0.024592802420652805
36_E-G,20,379,0.02439966522886757
36_E-G,21,325,0.020923195776733405
36_E-G,22,296,0.019056202922809504
36_E-G,23,305,0.019635614498165196
36_E-G,24,290,0.01866992853923904
36_E-G,25,246,0.015837249726388978
36_E-G,26,220,0.014163394064250306
36_E-G,27,207,0.01332646623318097
36_E-G,28,204,0.013133329041395738
36_E-G,29,141,0.009077448013905878
36_E-G,30,135,0.008691173630335416
36_E-G,31,138,0.008884310822120647
