variable,bin,proportion,WoE,iv_contribution,IV
grade,G,0.0063,-1.3845,0.016518,0.4706
grade,F,0.0252,-1.2079,0.048957,0.4706
grade,E,0.0725,-0.9375,0.081018,0.4706
grade,D,0.1485,-0.5582,0.054078,0.4706
grade,C,0.2765,-0.1358,0.005312,0.4706
grade,B,0.2947,0.4844,0.059262,0.4706
grade,A,0.1763,1.3468,0.205409,0.4706
delinq_2yrs,0.0,0.8057,0.0191,0.000293,0.0021
delinq_2yrs,1.0,0.1289,-0.0387,0.000196,0.0021
delinq_2yrs,2.0,0.038,-0.125,0.000617,0.0021
delinq_2yrs,3.0,0.0138,-0.1725,0.000432,0.0021
delinq_2yrs,4.0,0.0061,-0.1867,0.000226,0.0021
delinq_2yrs,5.0,0.0031,-0.1701,9.6e-05,0.0021
delinq_2yrs,6.0,0.0017,-0.1648,5e-05,0.0021
delinq_2yrs,7.0,0.001,-0.3032,9.7e-05,0.0021
delinq_2yrs,8.0,0.0006,-0.1261,9e-06,0.0021
delinq_2yrs,9.0,0.0003,-0.2762,2.9e-05,0.0021
delinq_2yrs,10.0,0.0002,-0.1946,1e-05,0.0021
delinq_2yrs,11.0,0.0001,-0.2889,1.4e-05,0.0021
delinq_2yrs,12.0,0.0001,-0.4771,3e-05,0.0021
delinq_2yrs,13.0,0.0001,-0.1382,2e-06,0.0021
delinq_2yrs,14.0,0.0001,-0.4145,1.3e-05,0.0021
delinq_2yrs,15.0,0.0,-0.022,0.0,0.0021
delinq_2yrs,16.0,0.0,-0.444,8e-06,0.0021
delinq_2yrs,17.0,0.0,-0.5795,1e-05,0.0021
delinq_2yrs,18.0,0.0,-0.0168,0.0,0.0021
delinq_2yrs,19.0,0.0,-0.6074,8e-06,0.0021
delinq_2yrs,20.0,0.0,-0.2116,1e-06,0.0021
delinq_2yrs,21.0,0.0,-0.4583,3e-06,0.0021
delinq_2yrs,22.0,0.0,0.2956,1e-06,0.0021
delinq_2yrs,24.0,0.0,0.1085,0.0,0.0021
delinq_2yrs,26.0,0.0,0.2064,0.0,0.0021
delinq_2yrs,27.0,0.0,-0.3866,2e-06,0.0021
delinq_2yrs,29.0,0.0,0.1085,0.0,0.0021
delinq_2yrs,30.0,0.0,0.1085,0.0,0.0021
delinq_2yrs,39.0,0.0,0.1085,0.0,0.0021
inq_last_6mths,0.0,0.5653,0.1376,0.01025,0.0277
inq_last_6mths,1.0,0.2726,-0.0864,0.002087,0.0277
inq_last_6mths,2.0,0.1038,-0.2326,0.006015,0.0277
inq_last_6mths,3.0,0.0406,-0.3519,0.005567,0.0277
inq_last_6mths,4.0,0.0119,-0.4239,0.002408,0.0277
inq_last_6mths,5.0,0.0043,-0.4271,0.000896,0.0277
inq_last_6mths,6.0,0.0011,-0.3697,0.000172,0.0277
inq_last_6mths,7.0,0.0002,-0.7547,0.000132,0.0277
inq_last_6mths,8.0,0.0001,-0.8494,0.00011,0.0277
inq_last_6mths,9.0,0.0,-0.71,3.4e-05,0.0277
inq_last_6mths,10.0,0.0,0.3439,3e-06,0.0277
inq_last_6mths,11.0,0.0,-0.0168,0.0,0.0277
inq_last_6mths,12.0,0.0,-0.6344,1.1e-05,0.0277
inq_last_6mths,13.0,0.0,-0.2873,1e-06,0.0277
inq_last_6mths,14.0,0.0,-1.1034,2.5e-05,0.0277
