variable,bin,proportion,WoE,iv_contribution,IV,decision
grade,G,0.0063,-1.3845,0.016518,0.4706,KEEP
grade,F,0.0252,-1.2079,0.048957,0.4706,KEEP
grade,E,0.0725,-0.9375,0.081018,0.4706,KEEP
grade,D,0.1485,-0.5582,0.054078,0.4706,KEEP
grade,C,0.2765,-0.1358,0.005312,0.4706,KEEP
grade,B,0.2947,0.4844,0.059262,0.4706,KEEP
grade,A,0.1763,1.3468,0.205409,0.4706,KEEP
delinq_2yrs,0,0.8057,0.0191,0.000293,0.002,DROP
delinq_2yrs,1,0.1289,-0.0387,0.000196,0.002,DROP
delinq_2yrs,>1,0.0654,-0.1502,0.001543,0.002,DROP
inq_last_6mths,0,0.5653,0.1376,0.01025,0.0276,KEEP
inq_last_6mths,1,0.2726,-0.0864,0.002087,0.0276,KEEP
inq_last_6mths,2,0.1038,-0.2326,0.006015,0.0276,KEEP
inq_last_6mths,>2,0.0583,-0.3765,0.009222,0.0276,KEEP
verification_status,Verified,0.3217,-0.2021,0.013951,0.0522,KEEP
verification_status,Source Verified,0.3839,-0.0721,0.00204,0.0522,KEEP
verification_status,Not Verified,0.2944,0.3718,0.036181,0.0522,KEEP
mths_since_earliest_cr_line,<250,0.1775,-0.1918,0.006908,0.0144,KEEP
mths_since_earliest_cr_line,250-350,0.4952,-0.0228,0.00026,0.0144,KEEP
mths_since_earliest_cr_line,>350,0.3274,0.1518,0.007195,0.0144,KEEP
annual_inc,<30K,0.0738,-0.2297,0.004168,0.031,KEEP
annual_inc,30K-40K,0.1111,-0.188,0.004153,0.031,KEEP
annual_inc,40K-50K,0.1417,-0.1298,0.002482,0.031,KEEP
annual_inc,50K-60K,0.1387,-0.0867,0.00107,0.031,KEEP
annual_inc,60K-70K,0.1151,-0.018,3.7e-05,0.031,KEEP
annual_inc,70K-80K,0.1014,0.0449,0.000202,0.031,KEEP
annual_inc,80K-90K,0.0756,0.1145,0.000956,0.031,KEEP
annual_inc,90K-100K,0.062,0.1741,0.001779,0.031,KEEP
annual_inc,100K-120K,0.0742,0.2564,0.004501,0.031,KEEP
annual_inc,120K-150K,0.0559,0.308,0.004816,0.031,KEEP
annual_inc,>150K,0.0506,0.3914,0.006857,0.031,KEEP
dti,<8.6,0.1346,0.3946,0.018504,0.0768,KEEP
dti,8.6-11,0.0822,0.3171,0.007478,0.0768,KEEP
dti,11-12.6,0.0638,0.2588,0.003942,0.0768,KEEP
dti,12.6-15,0.1042,0.1788,0.003153,0.0768,KEEP
dti,15-18.2,0.1406,0.0836,0.000957,0.0768,KEEP
dti,18.2-22.2,0.1619,-0.034,0.000189,0.0768,KEEP
dti,22.2-26.2,0.1295,-0.1676,0.003825,0.0768,KEEP
dti,26.2-30.2,0.0934,-0.3056,0.009535,0.0768,KEEP
dti,>=30.2,0.0898,-0.53,0.029268,0.0768,KEEP
emp_length_int,0,0.1333,-0.1636,0.003747,0.0048,DROP
emp_length_int,1-4,0.2953,0.0066,1.3e-05,0.0048,DROP
emp_length_int,5-9,0.2438,0.0102,2.5e-05,0.0048,DROP
emp_length_int,10,0.3276,0.0574,0.001059,0.0048,DROP
installment,<116.359,0.051,0.3734,0.00632,0.023,KEEP
installment,116.359-218.708,0.144,0.2812,0.010424,0.023,KEEP
installment,218.708-321.058,0.1913,0.0395,0.000295,0.023,KEEP
installment,321.058-423.407,0.1816,-0.093,0.001615,0.023,KEEP
installment,423.407-798.687,0.3346,-0.096,0.003174,0.023,KEEP
installment,>798.687,0.0976,-0.1095,0.001208,0.023,KEEP
total_rev_hi_lim,<=20K,0.4472,-0.0856,0.003361,0.0229,KEEP
total_rev_hi_lim,20K-30K,0.1977,-0.0708,0.001013,0.0229,KEEP
total_rev_hi_lim,30K-40K,0.1238,0.0019,0.0,0.0229,KEEP
total_rev_hi_lim,40K-55K,0.1056,0.1141,0.001327,0.0229,KEEP
total_rev_hi_lim,55K-95K,0.0916,0.3052,0.007756,0.0229,KEEP
total_rev_hi_lim,>95K,0.034,0.5771,0.009408,0.0229,KEEP
home_ownership,RENT_OTHER_NONE_ANY,0.4029,-0.1734,0.012752,0.0256,KEEP
home_ownership,OWN,0.104,-0.035,0.000129,0.0256,KEEP
home_ownership,MORTGAGE,0.4931,0.1648,0.012731,0.0256,KEEP
total_acc,0-20,0.3934,-0.0189,0.000142,0.0005,DROP
total_acc,21-30,0.3213,0.0181,0.000104,0.0005,DROP
total_acc,31-40,0.1795,0.0267,0.000127,0.0005,DROP
total_acc,>40,0.1058,-0.0285,8.7e-05,0.0005,DROP
open_acc,0-5,0.0866,0.1569,0.002031,0.0072,DROP
open_acc,6-10,0.4028,0.0577,0.001318,0.0072,DROP
open_acc,11-15,0.3143,-0.0354,0.000398,0.0072,DROP
open_acc,16-20,0.131,-0.0842,0.000954,0.0072,DROP
open_acc,>20,0.0653,-0.1911,0.002526,0.0072,DROP
int_rate,5.284-9.419,0.2403,1.1239,0.209977,0.4314,KEEP
int_rate,9.419-11.987,0.1741,0.4142,0.026182,0.4314,KEEP
int_rate,11.987-13.014,0.1197,0.1238,0.001766,0.4314,KEEP
int_rate,13.014-15.068,0.1655,-0.1306,0.002935,0.4314,KEEP
int_rate,15.068-17.123,0.1128,-0.3673,0.016928,0.4314,KEEP
int_rate,17.123-22.772,0.1543,-0.7434,0.10412,0.4314,KEEP
int_rate,>22.772,0.0333,-1.2486,0.069523,0.4314,KEEP
term,36,0.7593,0.2951,0.060264,0.2035,KEEP
term,60,0.2407,-0.7015,0.143269,0.2035,KEEP
purpose,small_business_renewable_energy_moving_house_medical,0.0341,-0.2745,0.002782,0.0185,KEEP
purpose,debt_consolidation,0.5858,-0.0767,0.003526,0.0185,KEEP
purpose,educational_other,0.0534,-0.0643,0.000225,0.0185,KEEP
purpose,vacation_major_purchase_home_improvement,0.0885,0.1329,0.001501,0.0185,KEEP
purpose,credit_card_car_wedding,0.2383,0.2169,0.010483,0.0185,KEEP
initial_list_status,w,0.5386,-0.0234,0.000297,0.0006,DROP
initial_list_status,f,0.4614,0.0277,0.000352,0.0006,DROP
addr_state,NE_MS_AL_AR_OK,0.0358,-0.2438,0.002288,0.0144,KEEP
addr_state,LA_NV_TN_SD,0.0431,-0.1413,0.000897,0.0144,KEEP
addr_state,NY,0.0827,-0.1035,0.000915,0.0144,KEEP
addr_state,IN_NM_MO,0.0372,-0.0918,0.000322,0.0144,KEEP
addr_state,FL,0.0702,-0.0823,0.000488,0.0144,KEEP
addr_state,KY_MD_ND_IA_NJ_OH_PA_NC_ID,0.1664,-0.0641,0.000697,0.0144,KEEP
addr_state,HI_MI_VA_DE_MN_AZ,0.1041,-0.0057,3e-06,0.0144,KEEP
addr_state,TX_AK,0.0839,0.0212,3.8e-05,0.0144,KEEP
addr_state,CA,0.1467,0.0309,0.000138,0.0144,KEEP
addr_state,MA_GA_RI_IL_UT,0.1064,0.1033,0.001099,0.0144,KEEP
addr_state,WI_CT_MT_WY_SC_KS,0.0535,0.1834,0.001699,0.0144,KEEP
addr_state,WV_WA_CO_ME_OR_NH_VT_DC,0.0701,0.3033,0.00586,0.0144,KEEP
